Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
321263,Humanity: A Moral History of the Twentieth Century,Jonathan Glover,"Glover, Jonathan",,"=""0300087152""","=""9780300087154""",0,4.27,Yale University Press,Paperback,480,2001,1999,,2021/02/16,,,read,,,,1,0
258476,Designing Interactions,Bill Moggridge,"Moggridge, Bill",,"=""0262134748""","=""9780262134743""",5,3.98,The MIT Press,Hardcover,766,2007,2006,,2021/01/18,,,read,,,,1,0
6568321,"Universal Principles of Design, Revised and Updated: 125 Ways to Enhance Usability, Influence Perception, Increase Appeal, Make Better Design Decisions, and Teach through Design",William Lidwell,"Lidwell, William","Kritina Holden, Jill Butler","=""1592535879""","=""9781592535873""",5,4.16,Rockport Publishers,Flexibound,272,2010,2003,,2021/01/18,,,read,,,,1,0
8379886,Designing Interfaces: Patterns for Effective Interaction Design,Jenifer Tidwell,"Tidwell, Jenifer",,"=""1449379702""","=""9781449379704""",4,3.83,O'Reilly Media,Paperback,578,2011,2005,,2021/01/18,,,read,,,,1,0
6863658,Effective UI: The Art of Building Great User Experience in Software,Jonathan Anderson,"Anderson, Jonathan","Robb Wilson, John McRee, The EffectiveUI Team","=""059615478X""","=""9780596154783""",4,3.55,O'Reilly Media,Paperback,312,2010,2009,,2021/01/18,,,read,,,,1,0
18652732,Designing with the Mind in Mind: Simple Guide to Understanding User Interface Design Rules,Jeff                                                 Johnson,"Johnson, Jeff",,"=""""","=""""",3,4.10,Morgan Kaufmann,Kindle Edition,201,2010,2010,,2021/01/18,,,read,,,,1,0
19380118,Radical Embodied Cognitive Science (A Bradford Book),Anthony Chemero,"Chemero, Anthony",,"=""""","=""""",5,3.93,A Bradford Book,Kindle Edition,269,2011,2009,,2021/01/18,,,read,,,,1,0
36691901,Self Comes to Mind: Constructing the Conscious Brain,António Damásio,"Damásio, António",,"=""""","=""""",5,3.96,Vintage,Kindle Edition,384,2010,2010,,2021/01/18,,,read,,,,1,0
22713923,How the Body Shapes the Mind,Shaun Gallagher,"Gallagher, Shaun",,"=""0191533963""","=""9780191533969""",5,4.29,Clarendon Press,Kindle Edition,284,2006,2005,,2021/01/18,,,read,,,,1,0
231160,Learning XML,Erik T. Ray,"Ray, Erik T.",,"=""0596004206""","=""9780596004200""",5,3.64,O'Reilly Media,Paperback,416,2003,2001,,2021/01/18,,,read,,,,1,0
10327296,Visual Complexity: Mapping Patterns of Information,Manuel Lima,"Lima, Manuel",,"=""1568989369""","=""9781568989365""",5,3.98,Princeton Architectural Press,Hardcover,272,2011,2011,,2021/01/18,,,read,,,,1,0
18286,Vision Science: Photons to Phenomenology,Stephen E. Palmer,"Palmer, Stephen E.",,"=""0262161834""","=""9780262161831""",5,4.33,The MIT Press,Hardcover,832,1999,1999,,2021/01/18,,,read,,,,1,0
6386509,Mobile Design and Development: Practical concepts and techniques for creating mobile sites and web apps,Brian Fling,"Fling, Brian",,"=""0596155441""","=""9780596155445""",3,3.51,O'Reilly Media,Paperback,311,2009,2009,,2021/01/18,,,read,,,,1,0
9191111,Ecrits: A Selection,Jacques Lacan,"Lacan, Jacques",,"=""""","=""""",4,3.80,,Kindle Edition,394,,1977,,2021/01/18,,,read,,,,1,0
5535026,Scientific Approaches to Consciousness (Carnegie Mellon Symposia on Cognition Series),James Cohen,"Cohen, James",Jonathan W. Schooler,"=""0805814728""","=""9780805814729""",5,5.00,Routledge,Paperback,550,1996,1996,,2021/01/18,,,read,,,,1,0
12551630,"This is Service Design Thinking: Basics, Tools, Cases",Marc Stickdorn,"Stickdorn, Marc",Jakob Schneider,"=""1118156307""","=""9781118156308""",5,4.00,Wiley,Paperback,384,2012,2010,,2021/01/18,,,read,,,,1,0
70132,Information Architecture for the World Wide Web: Designing Large-Scale Web Sites,Peter Morville,"Morville, Peter",Louis Rosenfeld,"=""0596527349""","=""9780596527341""",5,3.93,O'Reilly Media,Paperback,526,2007,1998,,2021/01/18,,,read,,,,1,0
13073411,Mobile Design Pattern Gallery: UI Patterns for Mobile Applications,Theresa Neil,"Neil, Theresa",,"=""1449314325""","=""9781449314323""",3,3.82,O'Reilly Media,Paperback,284,2012,2011,,2021/01/18,,,read,,,,1,0
11231520,Gamification by Design: Implementing Game Mechanics in Web and Mobile Apps,Gabe Zichermann,"Zichermann, Gabe",Christopher Cunningham,"=""1449397670""","=""9781449397678""",3,3.64,O'Reilly Media,Paperback,182,2011,2011,,2021/01/18,,,read,,,,1,0
433443,"An Introduction to Information Theory: Symbols, Signals and Noise (Dover Books on Mathematics)",John Robinson Pierce,"Pierce, John Robinson",,"=""0486240614""","=""9780486240619""",5,3.91,Dover Publications,Paperback,306,1980,1961,,2021/01/18,,,read,,,,1,0
18894948,Resilience: Why Things Bounce Back,Andrew Zolli,"Zolli, Andrew",Ann Marie Healy,"=""""","=""""",5,3.63,Free Press,Kindle Edition,338,2012,2012,,2021/01/18,,,read,,,,1,0
19025251,The Elementary Forms of the Religious Life [Active TOC & Linked Notes] (Classics of the Social Sciences),Émile Durkheim,"Durkheim, Émile","Joseph Ward Swain, Steven Alan Childress","=""""","=""""",5,3.93,Quid Pro Books,Kindle Edition,459,2012,1912,,2021/01/18,,,read,,,,1,0
773524,The Culture of Cities (Book 2),Lewis Mumford,"Mumford, Lewis",,"=""0156233010""","=""9780156233019""",5,4.06,Mariner Books,Paperback,586,1970,1938,,2021/01/18,,,read,,,,1,0
1049909,"Sensorium: Embodied Experience, Technology, and Contemporary Art (Mit Press)",Caroline A. Jones,"Jones, Caroline A.",,"=""0262101173""","=""9780262101172""",3,4.15,The MIT Press,Paperback,268,2006,2006,,2021/01/18,,,read,,,,1,0
18827531,Sigmund Freud's Classics,Sigmund Freud,"Freud, Sigmund",,"=""""","=""9781614304692""",5,3.75,Acheron Press,Kindle Edition,2715,2012,2012,,2021/01/18,,,read,,,,1,0
19057380,The Stages in the Social History of Capitalism,Henri Pirenne,"Pirenne, Henri",,"=""""","=""""",4,3.81,,Kindle Edition,36,2011,1914,,2021/01/18,,,read,,,,1,0
2117148,The City In Mind: Notes on the Urban Condition,James Howard Kunstler,"Kunstler, James Howard",,"=""0684845911""","=""9780684845913""",5,3.82,Free Press,Hardcover,272,2002,2001,,2021/01/18,,,read,,,,1,0
538867,Home from Nowhere: Remaking Our Everyday World for the 21st Century,James Howard Kunstler,"Kunstler, James Howard",,"=""0684811960""","=""9780684811963""",5,3.83,Simon & Schuster,Hardcover,320,1996,1996,,2021/01/18,,,read,,,,1,0
125313,The Geography of Nowhere: The Rise and Decline of America's Man-Made Landscape,James Howard Kunstler,"Kunstler, James Howard",,"=""0671888250""","=""9780671888251""",5,4.06,Free Press,Paperback,304,1994,1993,,2021/01/18,,,read,,,,1,0
8322332,"Designing Social Interfaces: Principles, Patterns, and Practices for Improving the User Experience (Animal Guide)",Christian Crumlish,"Crumlish, Christian",,"=""""","=""""",5,3.89,,Kindle Edition,518,,2009,,2021/01/18,,,read,,,,1,0
18924295,Storytelling for User Experience: Crafting Stories For Better Design,Whitney Quesenbery,"Quesenbery, Whitney",Kevin Brooks,"=""1933820039""","=""9781933820033""",5,3.74,Rosenfeld Media,Kindle Edition,298,2010,2010,,2021/01/18,,,read,,,,1,0
744460,Rapid Contextual Design,Karen Holtzblatt,"Holtzblatt, Karen","Jessamyn Wendell, Shelley Wood","=""0123540518""","=""9780123540515""",5,3.67,Morgan Kaufmann,Paperback,320,2004,2004,,2021/01/18,,,read,,,,1,0
19413037,"The Wave in the Mind: Talks and Essays on the Writer, the Reader, and the Imagination",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",1,4.33,Shambhala,Kindle Edition,294,2004,2004,,2021/01/18,,,read,,,,1,0
540287,On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,"Zinsser, William",,"=""0062735233""","=""9780062735232""",5,4.24,HarperPerennial,Paperback,308,1998,1976,,2021/01/18,,,read,,,,1,0
